customer_id,Customer_Name,Phone_Number,,,,,,
C0001,Chirag Varma,6510030040,,,,,,
C0002,Zoya Bhavsar,9606358235,,,,,,
C0003,Samar Char,6778421118,,,,,,
C0004,Jayant Bhakta,9238785510,,,,,,
C0005,Vaibhav Ramachandran,6494623072,,,,,,
C0006,Samiha Krishnamurthy,8851595081,,,,,,
C0007,Dhruv Sagar,6335774656,,,,,,
C0008,Tanya Wali,9172471482,,,,,,
C0009,Samar Buch,8771222479,,,,,,
C0010,Dhruv Dua,8748415176,,,,,,
C0011,Myra Dewan,9708083846,,,,,,
C0012,Diya Butala,6666409587,,,,,,
C0013,Siya Mallick,6126603480,,,,,,
C0014,Kavya Dhingra,6509700866,,,,,,
C0015,Adira Manda,9306957259,,,,,,
C0016,Elakshi Kuruvilla,9333522768,,,,,,
C0017,Arnav Bahri,6481752187,,,,,,
C0018,Shalv Sabharwal,7646841789,,,,,,
C0019,Darshit Sha,6805600654,,,,,,
C0020,Pari Mangal,6363004380,,,,,,
C0021,Sara Chander,8302452587,,,,,,
C0022,Aarna Chaudhuri,8826771471,,,,,,
C0023,Aarush Chopra,7985418185,,,,,,
C0024,Trisha Solanki,9460075671,,,,,,
C0025,Misha Dora,8607088285,,,,,,
C0026,Arhaan Garde,6596008907,,,,,,
C0027,Keya Chawla,6705640570,,,,,,
C0028,Miraan Badal,8562941015,,,,,,
C0029,Kimaya Golla,8411313864,,,,,,
C0030,Navya Uppal,8990355722,,,,,,
C0031,Lagan Cheema,8616402280,,,,,,
C0032,Nakul Ranganathan,9988535082,,,,,,
C0033,Drishya Sinha,9924632531,,,,,,
C0034,Oorja Sahota,7158047875,,,,,,
C0035,Yakshit Kothari,8353923605,,,,,,
C0036,Ehsaan Rajagopalan,8135190410,,,,,,
C0037,Ivana Chand,7661142738,,,,,,
C0038,Divyansh Bhardwaj,8730365129,,,,,,
C0039,Kanav Bajaj,9604799733,,,,,,
C0040,Shamik Venkatesh,8596888556,,,,,,
C0041,Nitya Roy,9512643577,,,,,,
C0042,Darshit Agarwal,6811495182,,,,,,
C0043,Dhanush Kalla,8435312305,,,,,,
C0044,Samaira Hegde,8568253604,,,,,,
C0045,Zain Talwar,8915839267,,,,,,
C0046,Dishani Sachdev,9398302172,,,,,,
C0047,Prisha Chhabra,6469584921,,,,,,
C0048,Suhana Krish,6604273305,,,,,,
C0049,Yashvi Jha,8391684248,,,,,,
C0050,Ishita Butala,7905304789,,,,,,
C0051,Lavanya Deep,7587813300,,,,,,
C0052,Zain Dara,9575870103,,,,,,
C0053,Lagan Dutt,9518247027,,,,,,
C0054,Jayesh Dhar,6576536236,,,,,,
C0055,Raghav Kara,8682792163,,,,,,
C0056,Mamooty Lal,8430703676,,,,,,
C0057,Indrans Malhotra,6683028322,,,,,,
C0058,Nishith Ranganathan,7251904743,,,,,,
C0059,Anay Mane,6429145152,,,,,,
C0060,Veer Khatri,7516337923,,,,,,
C0061,Taran Rege,6889349063,,,,,,
C0062,Anvi Goswami,8313587541,,,,,,
C0063,Gokul Balan,9149512734,,,,,,
C0064,Ritvik Saxena,8949259415,,,,,,
C0065,Lakshay Wali,9614217775,,,,,,
C0066,Advik Bhasin,9642181116,,,,,,
C0067,Mohanlal Chad,7580687947,,,,,,
C0068,Arnav Ramachandran,8616059066,,,,,,
C0069,Elakshi Buch,7252721322,,,,,,
C0070,Kanav Sur,9920717048,,,,,,
C0071,Ayesha Gola,6862411851,,,,,,
C0072,Nitya Kannan,6986321258,,,,,,
C0073,Miraan Kumer,8323779749,,,,,,
C0074,Prerak Keer,9107062758,,,,,,
C0075,Anahita Date,6182608411,,,,,,
C0076,Aarav Sama,7913120339,,,,,,
C0077,Jayesh Raja,8470296378,,,,,,
C0078,Urvi Gala,9796524938,,,,,,
C0079,Badal Bajaj,9455578838,,,,,,
C0080,Mishti Raju,6548905542,,,,,,
C0081,Manikya Bali,7606419525,,,,,,
C0082,Yuvraj  Kanda,9684959955,,,,,,
C0083,Sumer Ramaswamy,9613714976,,,,,,
C0084,Ishaan Vig,9417272047,,,,,,
C0085,Krish Dubey,8995610195,,,,,,
C0086,Keya Bali,6960414005,,,,,,
C0087,Ira Lata,6805349678,,,,,,
C0088,Saanvi Choudhry,7665821649,,,,,,
C0089,Anay Buch,8453924761,,,,,,
C0090,Ehsaan Bajwa,8906554314,,,,,,
C0091,Vivaan Gokhale,6881342256,,,,,,
C0092,Raunak Das,9315403129,,,,,,
C0093,Ahana  Badami,9886316493,,,,,,
C0094,Rohan Viswanathan,8697796525,,,,,,
C0095,Zeeshan Kaur,6322941275,,,,,,
C0096,Nitya Keer,7359144395,,,,,,
C0097,Hansh Gandhi,8221598759,,,,,,
C0098,Trisha Gala,8919783618,,,,,,
C0099,Tejas Singh,6780608809,,,,,,
C0100,Shaan Master,8458580592,,,,,,
C0101,Vardaniya Rout,6725657580,,,,,,
C0102,Darshit Sule,7197271436,,,,,,
C0103,Mahika Bora,8789568433,,,,,,
C0104,Elakshi Buch,7396693300,,,,,,
C0105,Ela Sawhney,8822905647,,,,,,
C0106,Ela Zacharia,6304667277,,,,,,
C0107,Lagan Kurian,7851023836,,,,,,
C0108,Nayantara Chakraborty,6638970767,,,,,,
C0109,Darshit Behl,6348350274,,,,,,
C0110,Anay Vora,6118238504,,,,,,
C0111,Samarth Gupta,9153395959,,,,,,
C0112,Mamooty Vora,7649561384,,,,,,
C0113,Prisha Krishnamurthy,9761695732,,,,,,
C0114,Lagan Thaman,9613285113,,,,,,
C0115,Zain Balan,7927628468,,,,,,
C0116,Mannat Suresh,6101210589,,,,,,
C0117,Anya Datta,9899921246,,,,,,
C0118,Lakshit Vala,7377595664,,,,,,
C0119,Aarav Kata,6848092200,,,,,,
C0120,Advika Vora,8201931463,,,,,,
C0121,Hazel Chad,7852813986,,,,,,
C0122,Riya Shroff,6209074964,,,,,,
C0123,Prerak Virk,9248287944,,,,,,
C0124,Emir Lata,8364174240,,,,,,
C0125,Anay Bains,9327815670,,,,,,
C0126,Aayush Srinivasan,8350872183,,,,,,
C0127,Kiaan Balasubramanian,9949923334,,,,,,
C0128,Divij Sur,8434300416,,,,,,
C0129,Jayan Tara,6320302624,,,,,,
C0130,Yakshit Sagar,8381657526,,,,,,
C0131,Nayantara Madan,8320789643,,,,,,
C0132,Nitya Hans,7973224084,,,,,,
C0133,Jivika Balasubramanian,7137436830,,,,,,
C0134,Tarini Borde,6650346748,,,,,,
C0135,Anaya Tella,8914990984,,,,,,
C0136,Nitara Borra,6701388377,,,,,,
C0137,Anvi Khosla,7282955376,,,,,,
C0138,Seher Chacko,6654454567,,,,,,
C0139,Nakul Sani,6394759535,,,,,,
C0140,Anvi Shenoy,8251837348,,,,,,
C0141,Indrajit Kala,7527292495,,,,,,
C0142,Nirvi Dayal,9869010484,,,,,,
C0143,Nishith Deshpande,7886045248,,,,,,
C0144,Urvi Mall,9555519935,,,,,,
C0145,Ahana  Cherian,9948896524,,,,,,
C0146,Lakshit Rajan,7275864470,,,,,,
C0147,Shayak Hayer,8853018099,,,,,,
C0148,Anika Rajan,6168326753,,,,,,
C0149,Vaibhav Thakur,7562268248,,,,,,
